Long,Lat,
-122.34609,37.46434,0
-122.34611,37.46436,0
-122.34618,37.46445,0
-122.34643,37.46476,0
-122.34647,37.46482,0
-122.34653,37.46489,0
-122.34667,37.46506,0
-122.34692,37.46536,0
-122.34702,37.4655,0
-122.34716,37.46566,0
-122.3475,37.46608,0
-122.34785,37.46652,0
-122.34866,37.4675,0
-122.34894,37.46785,0
-122.34925,37.46824,0
-122.3494,37.46841,0
-122.34951,37.46855,0
-122.34958,37.46861,0
-122.34963,37.46867,0
-122.34968,37.46872,0
-122.34978,37.46881,0
-122.34984,37.46885,0
-122.34991,37.46891,0
-122.35,37.46898,0
-122.35009,37.46904,0
-122.35019,37.4691,0
-122.35026,37.46914,0
-122.35034,37.46919,0
-122.35046,37.46925,0
-122.35057,37.46931,0
-122.35068,37.46936,0
-122.35076,37.46939,0
-122.35089,37.46944,0
-122.35101,37.46948,0
-122.35115,37.46952,0
-122.35124,37.46955,0
-122.35137,37.46958,0
-122.35147,37.4696,0
-122.3517,37.46964,0
-122.35177,37.46965,0
-122.3519,37.46966,0
-122.35205,37.46967,0
-122.35226,37.46968,0
-122.35267,37.46969,0
-122.35339,37.4697,0
-122.35359,37.46972,0
-122.35371,37.46973,0
-122.35382,37.46975,0
-122.35395,37.46977,0
-122.35409,37.4698,0
-122.35422,37.46984,0
-122.3544,37.46991,0
-122.35454,37.46997,0
-122.35464,37.47002,0
-122.35473,37.47008,0
-122.35484,37.47016,0
-122.35492,37.47023,0
-122.35498,37.47028,0
-122.35505,37.47035,0
-122.35517,37.47048,0
-122.35525,37.47057,0
-122.35533,37.47067,0
-122.35543,37.47079,0
-122.35549,37.47087,0
-122.35556,37.47097,0
-122.35566,37.4711,0
-122.35571,37.47116,0
-122.35574,37.47121,0
-122.35583,37.47134,0
-122.35603,37.47159,0
-122.35632,37.47197,0
-122.35642,37.47209,0
-122.3565,37.47221,0
-122.35658,37.47234,0
-122.35665,37.47244,0
-122.35669,37.47251,0
-122.35673,37.47257,0
-122.35682,37.47276,0
-122.35688,37.47288,0
-122.35694,37.47301,0
-122.357,37.47314,0
-122.35721,37.47363,0
-122.35743,37.47413,0
-122.35753,37.47436,0
-122.3576,37.47451,0
-122.35775,37.47485,0
-122.35794,37.4753,0
-122.35821,37.47591,0
-122.35824,37.47597,0
-122.35828,37.47607,0
-122.35832,37.47615,0
-122.35836,37.47625,0
-122.35843,37.47641,0
-122.35847,37.47649,0
-122.35851,37.47658,0
-122.35855,37.47668,0
-122.35861,37.47682,0
-122.35866,37.47694,0
-122.35875,37.47714,0
-122.35884,37.47735,0
-122.35903,37.47778,0
-122.35907,37.47788,0
-122.3591,37.47793,0
-122.35912,37.47799,0
-122.35918,37.47812,0
-122.35924,37.47826,0
-122.35936,37.47853,0
-122.35944,37.47871,0
-122.35949,37.4788,0
-122.35953,37.47892,0
-122.35961,37.47911,0
-122.35965,37.47921,0
-122.35968,37.47931,0
-122.35972,37.47945,0
